2011년_계_총인구수,2011년_계_연령구간인구수,2011년_계_0~4세,2011년_계_5~9세,2011년_계_10~14세,2011년_계_15~19세,2011년_계_20~24세,2011년_계_25~29세,2011년_계_30~34세,2011년_계_35~39세,2011년_계_40~44세,2011년_계_45~49세,2011년_계_50~54세,2011년_계_55~59세,2011년_계_60~64세,2011년_계_65~69세,2011년_계_70~74세,2011년_계_75~79세,2011년_계_80~84세,2011년_계_85~89세,2011년_계_90~94세,2011년_계_95~99세,2011년_계_100세 이상,2011년_남_총인구수,2011년_남_연령구간인구수,2011년_남_0~4세,2011년_남_5~9세,2011년_남_10~14세,2011년_남_15~19세,2011년_남_20~24세,2011년_남_25~29세,2011년_남_30~34세,2011년_남_35~39세,2011년_남_40~44세,2011년_남_45~49세,2011년_남_50~54세,2011년_남_55~59세,2011년_남_60~64세,2011년_남_65~69세,2011년_남_70~74세,2011년_남_75~79세,2011년_남_80~84세,2011년_남_85~89세,2011년_남_90~94세,2011년_남_95~99세,2011년_남_100세 이상,2011년_여_총인구수,2011년_여_연령구간인구수,2011년_여_0~4세,2011년_여_5~9세,2011년_여_10~14세,2011년_여_15~19세,2011년_여_20~24세,2011년_여_25~29세,2011년_여_30~34세,2011년_여_35~39세,2011년_여_40~44세,2011년_여_45~49세,2011년_여_50~54세,2011년_여_55~59세,2011년_여_60~64세,2011년_여_65~69세,2011년_여_70~74세,2011년_여_75~79세,2011년_여_80~84세,2011년_여_85~89세,2011년_여_90~94세,2011년_여_95~99세,2011년_여_100세 이상
569072 ,569072 ,25503 ,24388 ,29934 ,36751 ,37507 ,47171 ,54552 ,51083 ,48682 ,44526 ,49911 ,39707 ,27205 ,19357 ,14155 ,9195 ,5471 ,2687 ,925 ,230 ,132 ,280274 ,280274 ,13096 ,12593 ,15409 ,19192 ,19074 ,23060 ,27570 ,26093 ,24422 ,21728 ,23726 ,18931 ,13380 ,9637 ,6301 ,3427 ,1605 ,688 ,249 ,52 ,41 ,288798 ,288798 ,12407 ,11795 ,14525 ,17559 ,18433 ,24111 ,26982 ,24990 ,24260 ,22798 ,26185 ,20776 ,13825 ,9720 ,7854 ,5768 ,3866 ,1999 ,676 ,178 ,91 
567431 ,567431 ,25267 ,23843 ,28205 ,35173 ,38063 ,44256 ,55552 ,49600 ,49194 ,43294 ,49523 ,41224 ,28596 ,20355 ,15524 ,9669 ,5852 ,2831 ,1031 ,238 ,141 ,278969 ,278969 ,12873 ,12234 ,14605 ,18287 ,19378 ,21490 ,28204 ,25197 ,24817 ,20964 ,23706 ,19478 ,13969 ,10108 ,7087 ,3737 ,1764 ,720 ,260 ,49 ,42 ,288462 ,288462 ,12394 ,11609 ,13600 ,16886 ,18685 ,22766 ,27348 ,24403 ,24377 ,22330 ,25817 ,21746 ,14627 ,10247 ,8437 ,5932 ,4088 ,2111 ,771 ,189 ,99 
569070 ,569070 ,25281 ,23189 ,26822 ,33693 ,38421 ,42884 ,57005 ,47985 ,49251 ,43692 ,48401 ,43350 ,29766 ,22009 ,16296 ,10241 ,6186 ,3040 ,1141 ,250 ,167 ,279207 ,279207 ,12830 ,11846 ,13806 ,17512 ,19486 ,20787 ,28946 ,24415 ,24909 ,21122 ,23217 ,20342 ,14338 ,10988 ,7508 ,4015 ,1976 ,782 ,271 ,60 ,51 ,289863 ,289863 ,12451 ,11343 ,13016 ,16181 ,18935 ,22097 ,28059 ,23570 ,24342 ,22570 ,25184 ,23008 ,15428 ,11021 ,8788 ,6226 ,4210 ,2258 ,870 ,190 ,116 
585160 ,585160 ,26856 ,23516 ,26267 ,32738 ,39714 ,43493 ,56942 ,50169 ,50357 ,44982 ,47744 ,46297 ,31968 ,24192 ,17103 ,11107 ,6609 ,3390 ,1247 ,285 ,184 ,286644 ,286644 ,13629 ,12001 ,13473 ,16982 ,20083 ,20976 ,28841 ,25517 ,25512 ,21899 ,22747 ,21790 ,15291 ,11891 ,8126 ,4424 ,2161 ,857 ,319 ,70 ,55 ,298516 ,298516 ,13227 ,11515 ,12794 ,15756 ,19631 ,22517 ,28101 ,24652 ,24845 ,23083 ,24997 ,24507 ,16677 ,12301 ,8977 ,6683 ,4448 ,2533 ,928 ,215 ,129 
589074 ,589074 ,26848 ,23535 ,24198 ,31800 ,40111 ,43830 ,55335 ,51585 ,49757 ,45660 ,46139 ,47462 ,35022 ,25862 ,17569 ,11729 ,7152 ,3655 ,1308 ,326 ,191 ,287947 ,287947 ,13585 ,12122 ,12331 ,16346 ,20125 ,21027 ,28021 ,26270 ,25218 ,22416 ,21938 ,22377 ,16469 ,12600 ,8430 ,4803 ,2443 ,959 ,317 ,94 ,56 ,301127 ,301127 ,13263 ,11413 ,11867 ,15454 ,19986 ,22803 ,27314 ,25315 ,24539 ,23244 ,24201 ,25085 ,18553 ,13262 ,9139 ,6926 ,4709 ,2696 ,991 ,232 ,135 
595485 ,595485 ,26646 ,24065 ,23090 ,30460 ,39654 ,45771 ,53646 ,53813 ,48599 ,47424 ,44169 ,48985 ,38274 ,26279 ,18365 ,12741 ,7608 ,3921 ,1399 ,375 ,201 ,290478 ,290478 ,13575 ,12288 ,11836 ,15583 ,19802 ,21694 ,27022 ,27611 ,24590 ,23287 ,21133 ,23020 ,17900 ,12632 ,8938 ,5372 ,2631 ,1064 ,341 ,104 ,55 ,305007 ,305007 ,13071 ,11777 ,11254 ,14877 ,19852 ,24077 ,26624 ,26202 ,24009 ,24137 ,23036 ,25965 ,20374 ,13647 ,9427 ,7369 ,4977 ,2857 ,1058 ,271 ,146 
601691 ,601691 ,25101 ,24124 ,22956 ,28769 ,38896 ,48899 ,52321 ,55872 ,48069 ,48536 ,43178 ,49016 ,40109 ,27702 ,19503 ,14294 ,8068 ,4164 ,1519 ,400 ,195 ,292989 ,292989 ,12739 ,12353 ,11729 ,14761 ,19095 ,23121 ,26297 ,28713 ,24287 ,24156 ,20584 ,23100 ,18627 ,13222 ,9450 ,6227 ,2873 ,1146 ,351 ,111 ,47 ,308702 ,308702 ,12362 ,11771 ,11227 ,14008 ,19801 ,25778 ,26024 ,27159 ,23782 ,24380 ,22594 ,25916 ,21482 ,14480 ,10053 ,8067 ,5195 ,3018 ,1168 ,289 ,148 
596949 ,596949 ,23000 ,23680 ,22377 ,27104 ,37273 ,50004 ,50717 ,56101 ,45885 ,48412 ,43281 ,47817 ,41853 ,28459 ,20941 ,14815 ,8595 ,4333 ,1663 ,430 ,209 ,290079 ,290079 ,11709 ,12146 ,11457 ,13800 ,18140 ,23504 ,25438 ,28858 ,23130 ,24202 ,20724 ,22515 ,19328 ,13489 ,10170 ,6521 ,3122 ,1276 ,381 ,109 ,60 ,306870 ,306870 ,11291 ,11534 ,10920 ,13304 ,19133 ,26500 ,25279 ,27243 ,22755 ,24210 ,22557 ,25302 ,22525 ,14970 ,10771 ,8294 ,5473 ,3057 ,1282 ,321 ,149 
591796 ,591796 ,20648 ,23320 ,21616 ,25826 ,35481 ,51937 ,49954 ,53124 ,45481 ,47795 ,43289 ,45778 ,43708 ,29872 ,22298 ,15252 ,9314 ,4582 ,1832 ,471 ,218 ,286563 ,286563 ,10611 ,11866 ,11073 ,13145 ,17023 ,24199 ,24909 ,27292 ,22893 ,23945 ,20809 ,21529 ,20255 ,14011 ,10668 ,6908 ,3455 ,1365 ,418 ,125 ,64 ,305233 ,305233 ,10037 ,11454 ,10543 ,12681 ,18458 ,27738 ,25045 ,25832 ,22588 ,23850 ,22480 ,24249 ,23453 ,15861 ,11630 ,8344 ,5859 ,3217 ,1414 ,346 ,154 
580185 ,580185 ,17481 ,22079 ,21202 ,23492 ,34061 ,52930 ,49668 ,49394 ,45143 ,45745 ,43004 ,43192 ,44061 ,32279 ,23418 ,15497 ,9788 ,4990 ,2029 ,493 ,239 ,280034 ,280034 ,8979 ,11243 ,10913 ,11934 ,16100 ,24210 ,24823 ,25451 ,22670 ,22872 ,20964 ,20300 ,20524 ,14885 ,11140 ,7047 ,3770 ,1562 ,461 ,111 ,75 ,300151 ,300151 ,8502 ,10836 ,10289 ,11558 ,17961 ,28720 ,24845 ,23943 ,22473 ,22873 ,22040 ,22892 ,23537 ,17394 ,12278 ,8450 ,6018 ,3428 ,1568 ,382 ,164 
574315 ,574315 ,15619 ,21027 ,21245 ,22272 ,32819 ,52833 ,51062 ,46769 ,45631 ,43635 ,43859 ,40549 ,44659 ,34723 ,23443 ,15962 ,10338 ,5265 ,2039 ,484 ,82 ,276292 ,276292 ,7969 ,10650 ,10946 ,11330 ,15313 ,23914 ,25334 ,23979 ,22974 ,21852 ,21389 ,19270 ,20687 ,15941 ,11040 ,7414 ,4078 ,1622 ,472 ,99 ,19 ,298023 ,298023 ,7650 ,10377 ,10299 ,10942 ,17506 ,28919 ,25728 ,22790 ,22657 ,21783 ,22470 ,21279 ,23972 ,18782 ,12403 ,8548 ,6260 ,3643 ,1567 ,385 ,63 