기간,지역,출생건수(명),사망건수(명)
2018,합계,58074,45219
2018,종로구,644,897
2018,중구,733,710
2018,용산구,1377,1203
2018,성동구,2346,1383
2018,광진구,2197,1512
2018,동대문구,1886,1895
2018,중랑구,2446,2178
2018,성북구,2264,2215
2018,강북구,1344,1960
2018,도봉구,1707,1901
2018,노원구,2851,2896
2018,은평구,2703,2504
2018,서대문구,1647,1669
2018,마포구,2528,1612
2018,양천구,2387,1842
2018,강서구,4260,2759
2018,구로구,2658,1922
2018,금천구,1314,1133
2018,영등포구,2698,1659
2018,동작구,2417,1720
2018,관악구,2582,2179
2018,서초구,2919,1435
2018,강남구,2940,1796
2018,송파구,4567,2334
2018,강동구,2659,1905